Tom wandelt snel. 	 Tom walks quickly.
Zij verkoopt zeeschelpen aan de kust. 	 She sells seashells by the seashore.
Ik voelde me ongemakkelijk. 	 I felt awkward.
Hij is naar Japan teruggekeerd. 	 He returned to Japan.
Ik bezoek mijn grootmoeder in het ziekenhuis. 	 I'm visiting my grandmother in the hospital.
Tom maakt een goede kans de verkiezing te winnen. 	 Tom has a good chance of winning the election.
Duizend gebouwen lagen in puin. 	 One thousand buildings lay in ruins.
Tom houdt niet van bijnamen. 	 Tom isn't fond of nicknames.
Ik heb een dutje nodig. 	 I need a nap.
Ik spreek een beetje Frans. 	 I can speak French a little.
Kijk! De kat is in de keuken. 	 Look! The cat's in the kitchen.
Kijk me aan als ik tegen je praat! 	 Look at me when I'm talking to you!
Ik kan mijn bron niet onthullen. 	 I can't reveal my source.
Waarom werk je? 	 Why do you work?
Tom begon te praten. 	 Tom began talking.
Ik ben ervan overtuigd dat hij onschuldig is. 	 I am convinced that he is innocent.
Er is geen leven op de maan. 	 There's no life on the moon.
Hebben jullie de kaartjes? 	 Do you have the tickets?
Ik ben boven als u me nodig hebt. 	 I'll be upstairs if you need me.
Loop niet in de klas a.u.b. 	 Please don't run in the classroom.
Wie heeft alle taarten opgegeten? 	 Who ate all the pies?
Lelies ruiken zoet. 	 Lilies smell sweet.
Jullie zijn een probleem. 	 You're a problem.
Hij heeft moeite om namen te onthouden. 	 He has trouble remembering names.
Ik zal je nooit dwingen om met hem te trouwen. 	 I will never force you to marry him.
Je bent speciaal. 	 You are special.
Iedereen was geschokt. 	 Everyone was shocked.
Ze gingen gisteren naar de bioscoop. 	 They went to the movies last night.
Het kan niet waar zijn. 	 It can't be true.
Ik moet morgen werken. 	 I have to work tomorrow.
Ik zou met de kabelbaan willen gaan, maar ik heb hoogtevrees. 	 I'd like to ride the cable car, but I'm afraid of heights.
In het begin schiep God de hemel en de aarde. 	 In the beginning God created the heaven and the earth.
Ik heb vandaag een dozijn potloden gekocht. 	 I bought a dozen pencils today.
Ik raad dat niet aan. 	 I don't recommend that.
Ik voel me niet goed. 	 I'm not feeling well.
Hoe heet deze straat? 	 What's this street called?
Ik had vandaag een bloedneus. 	 I had a nosebleed today.
Wij spreken Frans. 	 We speak French.
Tom wil dat ik je kom halen. 	 Tom sent me over to get you.
Het is een zeer ingewikkelde vraag. 	 That's a very complicated question.
Hij heeft geld. 	 He has money.
Misschien is Tom dood. 	 Maybe Tom is dead.
Hoe laat gaan de winkels open? 	 What time do the shops open?
Ik weet dat je hier gelukkig zal zijn. 	 I know you'll be happy here.
Antieke vloerkleden zijn bijzonder waardevol. 	 Antique carpets are especially valuable.
Helpen jullie Tom, alsjeblieft. 	 Please help Tom.
Ik wil niet met je praten. 	 I don't want to talk to you.
Ik had nog niet opgehangen of de telefoon ging alweer over. 	 No sooner had I hung up than the phone started ringing again.
De baby ligt in zijn wieg, zuigend op zijn speen. 	 The baby is in his crib, sucking on his pacifier.
Alleen gelaten begon het kleine meisje te huilen. 	 Left alone, the little girl began to cry.
Het was met Kerstmis toen het hevig sneeuwde. 	 It was on a Christmas when it snowed heavily.
Tom heeft het lint doorgeknipt. 	 Tom cut the ribbon.
Ze liet hem toe alleen te gaan. 	 She allowed him to go alone.
Deze huizen werden tot de grond platgebrand door de vijand. 	 These houses were burnt down to the ground by the enemy.
Zeg steeds de waarheid. 	 Always tell the truth.
Ik ken Tom best goed. 	 I know Tom pretty well.
Laten we vooruit duwen. 	 Let's push on.
Mijn oom heeft mij een boek gegeven. 	 My uncle gave me a book.
Dit is oom Toms boerderij. 	 This is Uncle Tom's farm.
Ik moet slapen. 	 I need to sleep.
Ze ontmoette hem drie jaar geleden. 	 She met him three years ago.
Een mens moet werken. 	 A man must work.
Je sliep. 	 You were asleep.
Ik heb een domme vraag. 	 I have a stupid question.
Aarzel niet om het te vragen als je hulp nodig hebt. 	 Don't hesitate to ask if you need help.
Laat je niet in de maling nemen. 	 Don't be deceived.
Daar kan ik niet aan denken. 	 I can't think about that.
Ik ben degene die dat moet doen. 	 I'm the person who has to do that.
Het slaat gewoon nergens op. 	 It just makes no sense.
Frambozen zijn heel duur. 	 Raspberries are very expensive.
Hij had een paar potloden moeten kopen. 	 He should have bought some pencils.
Het maakt weinig verschil. 	 It makes little difference.
Tom was heel zenuwachtig. 	 Tom was very nervous.
Het ijsje was heerlijk. 	 The ice cream was delicious.
Hebt u een mobieltje? 	 Do you have a cellphone?
We associëren zwart vaak met de dood. 	 We often associate black with death.
Tom is in ziekteverlof. 	 Tom is on sick leave.
Japan telt ongeveer 120 miljoen inwoners. 	 The population of Japan is about 120 million.
Ik kan mijn bril niet vinden. 	 I can't find my glasses.
Ze draagt een broche. 	 She is wearing a brooch.
Ik werk in de zoo. 	 I work at the zoo.
Goede raad is duur. 	 Good advice is hard to come by.
Het is fijn om gewild te zijn. 	 It's nice to feel wanted.
Het maakt mij niets uit waar Tom dat doet. 	 It doesn't matter to me where Tom does that.
Iedereen had een goed jaar. 	 Everyone had a good year.
Ik geloof dat alles nu in orde is. 	 I think everything's fine now.
Ik betwijfel het dat Tom schuldig is. 	 I doubt that Tom is guilty.
Ik heb mijn eten uitgekotst. 	 I threw up my food.
Het is misleidend. 	 It's misleading.
Vindt u Engels leuk? 	 Do you like English?
Wie heeft het bord gebroken? 	 Who broke the plate?
Het was niet zo moeilijk. 	 It wasn't so difficult.
Tom kocht zichzelf een nieuwe sportauto. 	 Tom bought himself a new sports car.
De honden blaffen. 	 Dogs bark.
Ik bak brood. 	 I am baking bread.
Tom en ik zullen alles doen wat we kunnen. 	 Tom and I will do all we can.
Weet je wie zij is? 	 Do you know who she is?
Mijn huis is verzekerd. 	 My house is covered by insurance.
Mary is modeontwerpster. 	 Mary is a fashion designer.
De lucht is grijs. 	 The sky is gray.
Ik rijd veilig. 	 I drive safely.
Waren jullie uitgenodigd? 	 Were you invited?
Ik heb nauwelijks geld. 	 I have hardly any money.
Kom morgenochtend. 	 Come tomorrow morning.
Ik ben mijn regenscherm verloren. 	 I have lost my umbrella.
Waar zijn jullie? 	 Where are you?
Ik wil een tovenaar zijn. 	 I want to be a magician.
We weten zelfs niet met wie Tom getrouwd is. 	 We don't even know who Tom got married to.
Ik heb een hoed gekocht. 	 I bought a hat.
Hij wordt snel moe. 	 He gets tired easily.
Natuurlijk ga ik. 	 Of course I'll go.
We hoorden drie schoten. 	 We heard three shots.
Gisteravond zag hij een ufo in de lucht. 	 Last night, he saw a UFO in the sky.
Tom rookte. 	 Tom smoked.
Hoe kan je Tom nou niet aardig vinden? 	 How can you not like Tom?
Ik was er gistermiddag niet. 	 I wasn't in yesterday afternoon.
Wie weet er echt waarom? 	 Who really knows why?
Ik weet wat ik ga doen. 	 I know what I'm going to do.
Tom is nu in Australië. 	 Tom is in Australia now.
Er waren honderden mensen op het plein. 	 There were several hundred people in the plaza.
Geef niet te veel weg. 	 Don't give away too much.
We werden dikke vrienden. 	 We became fast friends.
Ze heeft hem meer nodig dan dat hij haar nodig heeft. 	 She needs him more than he needs her.
Ik liet een bericht achter. 	 I left a message.
Heeft u ooit een paarse vlinder gezien? 	 Have you ever seen a purple butterfly?
Tom zei dat hij u niet kende. 	 Tom said he didn't know you.
Ik hou van sinaasappelsap. 	 I like orange juice.
Dit was mijn fout. 	 This was my fault.
Vinden jullie Australië leuk? 	 Do you like Australia?
Ze kon haar lach niet bedwingen toen ze het kleed zag. 	 She could hardly keep from laughing when she saw the dress.
Ik hou van tulpen. 	 I like tulips.
Het was omdat hij gewond was dat hij besloot terug te keren naar Amerika. 	 It was because he was injured that he decided to return to America.
Ik had een baan toen ik zo oud was als jij. 	 I had a job when I was your age.
Ik praat er liever niet over. 	 I'd rather not talk about that.
Wijn is gebottelde poëzie. 	 Wine is poetry put into a bottle.
Tom zei dat Mary verdwaald is. 	 Tom said Mary is lost.
Het is mij verboden deze telefoon te gebruiken. 	 I am forbidden to use this telephone.
Ik ben gewoon niet geschikt voor dit werk. 	 I'm just not cut out for this kind of work.
Meisjes houden ervan vadertje en moedertje te spelen. 	 Girls like to play house.
Je kunt niet iedereen gelukkig maken. 	 You can't always make everyone happy.
Blijf gaan. 	 Keep going.
Hoe laat is mijn vlucht? 	 When is my flight?
Bijt deze spin? 	 Does this spider bite?
Tom zei dat hij Mary het boek zou geven zodra hij het had uitgelezen. 	 Tom said he'd give the book to Mary as soon as he finished reading it.
De vraag is misschien te ingewikkeld voor jou. 	 The question is perhaps too complex for you.
Ik werd door een oude vriend uitgenodigd. 	 I was invited by an old friend.
Ik heb veel geleerd. 	 I've learned a lot.
Ik weet niet wat ik Tom moet zeggen. 	 I don't know what to say to Tom.
Hij vroeg me wie ik was. 	 He asked me who I was.
Tom woonde ook in Australië. 	 Tom also lived in Australia.
Geef mij het nummer. 	 Give me the number.
Zou je me wat Frans kunnen leren? 	 Could you teach me some French?
Ik ben klaar. 	 I'm ready.
Ik weet niet waar te beginnen. 	 I don't know where to begin.
Tom is financieel onafhankelijk. 	 Tom is financially independent.
Ik heb groene ogen. 	 I have green eyes.
Bescherm jullie familie. 	 Protect your family.
Hoeveel mensen waren aanwezig bij de bijeenkomst? 	 How many people were present at the meeting?
Je weet niet hoe graag ik je mag. 	 You don't know how much I love you.
Klopt dat? 	 Is that right?
Ik heb de hele nacht doorgewerkt. 	 I've worked all night.
Je kunt altijd op Tom rekenen. 	 You can always count on Tom.
Ik ben teleurgesteld dat mijn vrienden niet hier zijn. 	 I am disappointed that my friends are not here.
Tom was gister op tv. 	 Tom was on TV yesterday.
Je mag zeggen wat je wil. 	 You're free to say what you want.
Ik ben mollig. 	 I'm chubby.
Dit is geen appel. Het is een peer. 	 This isn't an apple. It's a pear.
Hij schreef me van tijd tot tijd. 	 He wrote to me from time to time.
Zijn jullie naar Australië geweest? 	 Have you been to Australia?
Ze heeft de hele nacht gehuild. 	 She cried all night.
Ik hou niet meer van haar. 	 I don't love her anymore.
Tom dacht dat Maria in Australië was. 	 Tom thought Mary was in Australia.
Waarom werken jullie? 	 Why do you work?
Ik voelde me gewoon vreselijk. 	 I just felt terrible.
Tom draaide zich om. 	 Tom spun around.
Vraag het volgende keer voordat je mijn auto gebruikt. 	 Next time, ask me before you use my car.
Kus je me niet? 	 Aren't you going to kiss me?
"Kan ik u helpen?" "Nee, dank u wel. Ik kijk gewoon rond." 	 "May I help you?" "No, thank you. I'm just looking."
Ze heeft een misdaad begaan. 	 She committed a crime.
Ik heb een rode potlood nodig. 	 I need a red pencil.
Tom werd koppig. 	 Tom became obstinate.
Zou u even kunnen wachten? 	 Could you wait a moment?
Wanneer ik fiets draag ik altijd een helm. 	 I always wear a helmet when I ride my bicycle.
Wie is er moe? 	 Who's tired?
Ik ben de tweede van drie kinderen 	 I'm the second oldest of three children.
Deze fabriek produceert cd-spelers. 	 This factory produces CD players.
Hij is sterk. 	 He is powerful.
Zou je dat willen uitleggen? 	 Would you mind explaining this?
Laat me uw tong zien. 	 Let me see your tongue.
We moeten een ruimte voor ons feest huren. 	 We need to rent a room for our party.
Ik heb weinig geld. 	 I'm short of money.
Ik zal nooit weggaan. 	 I'll never leave.
Sla alstublieft rechtsaf. 	 Please turn right.
Je gaat er beter aan beginnen. 	 You'd better get started.
Hij is vies. 	 He is nasty.
We hebben het beste voor het einde bewaard. 	 We saved the best for last.
Weet je hoe dat eruit ziet? 	 Do you know how that looks?
Ze schieten op ons. 	 They're firing at us.
Hij handelt namens zichzelf. 	 He is acting on his own behalf.
Iedereen juichte. 	 Everyone cheered.
Is Tom doodgegaan? 	 Did Tom die?
Heb je een vriendje thuis? 	 Do you have a boyfriend back home?
Het is hier niet zo koud als in Alaska. 	 It isn't as cold here as in Alaska.
Ze heeft niets gegeten tot ze gered werd. 	 She did not eat anything until she was rescued.
Wat haat ik dat zoeken naar werk. 	 What I hate is looking for work.
Zalig kerstfeest. 	 Merry Christmas!
Tom kocht dit voor jou. 	 It was Tom who bought this for you.
Tom ontsnapte. 	 Tom escaped.
Had ik ongelijk? 	 Was I wrong?
Hij stond hen toe in de tuin te wandelen. 	 He permitted them to walk in the garden.
Een jaar heeft twaalf maanden. 	 One year has twelve months.
Ik zoek mijn sleutels. Heb jij ze gezien? 	 I'm looking for my keys. Have you seen them?
Tom is het brood aan het snijden. 	 Tom is cutting the bread.
Tom weet niet wie we zijn. 	 Tom doesn't know who we are.
Ik ben niet van hier. 	 I'm not from here.
Hopelijk kan ik gauw naar Australië gaan. 	 I hope I can go to Australia soon.
Dat is een saai videospel. 	 That's a boring video game.
Hoe noem je deze vogel in het Engels? 	 What do you call this bird in English?
Ze is gekleed als een bruid. 	 She is dressed like a bride.
Mijn vader is thuis. 	 My father is at home.
Hij opende zijn mond, alsof hij zou spreken, maar zei niets. 	 He opened his mouth as if to speak, but didn't say anything.
Ik zit nu te lezen. 	 I'm reading now.
Hij slaagde erin om te ontsnappen. 	 He managed to escape.
Niet betreden. 	 Keep out.
Waar heb je gestudeerd? 	 Where did you study?
In de zomer zwem ik vaak in de zee. 	 I often go swimming at the beach in the summer.
We hadden lol. 	 We had fun.
De zomer is voorbij. 	 Summer has ended.
Tom herstelde. 	 Tom recovered.
Wat heb je vandaag gedaan? 	 What've you been doing today?
Ik kan me geen enkele reden bedenken om niet te gaan. 	 I can't think of any reason not to go.
Ik ben op een boerderij in Australië opgegroeid. 	 I grew up on a farm in Australia.
Mijn grootvader heeft grijs haar. 	 My grandfather has gray hair.
Dat mag niet. 	 That isn't allowed.
Ik heb veel geleerd. 	 I learned a lot.
Ik was alles aan het missen. 	 I was missing everything.
Op het volgende station moet u overstappen. 	 You have to change trains at the next stop.
Ik wil niet echt in Boston wonen. 	 I don't really want to live in Boston.
Het zal ongeveer tienduizend yen kosten. 	 It will cost around 10,000 yen.
Mag ik je om een gunst vragen? 	 May I request a favour of you?
Rockefeller was gouverneur van New York. 	 Rockefeller was governor of New York.
Ik weet dat Tom vrijgezel is. 	 I know that Tom is single.
Ik bleef de hele dag thuis. 	 I stayed home all day.
Het ijs smelt. 	 The ice cream is melting.
Hij is aan het eten. 	 He is eating.
Wat is jouw antwoord? 	 What's your answer?
De studenten leerden dit gedicht uit hun hoofd. 	 The students learned this poem by heart.
We doen alles wat we kunnen om uw dochter te vinden. 	 We're doing everything we can to find your daughter.
Hij eiste veel geld. 	 He asked for a lot of money.
Ik neem aan dat je over Toms dood hebt gehoord. 	 I assume you heard about Tom's death.
Tom weigert te werken. 	 Tom refuses to work.
Het was behoorlijk koud. 	 It was quite cold.
Mijn moeder heeft me gemaakt tot wat ik vandaag ben. 	 My mother made me what I am today.
Tom keerde terug naar Australië. 	 Tom returned to Australia.
Hoeveel moeite kost het om aan je eerste baan te komen? 	 How much effort does it take to get your first job?
Er was niemand in de tuin. 	 There was nobody in the garden.
Wat zijn we volgende week om deze tijd aan het doen? 	 What will we be doing this time next week?
Laat ons praten. 	 Let's talk.
Tom zal alles betalen. 	 Tom will pay for everything.
Ik denk niet dat iemand dat doet. 	 I don't think that anyone does that.
Mijn eerste zoon was naar mijn oom genoemd. 	 My first son was named after my uncle.
De mannen gaan naar het werk. 	 The men go to work.
Ik heb bij lange na niet genoeg geld om een huis te kopen. 	 I have nowhere near enough money to buy a house.
Ik heb schrik van wilde beesten. 	 I'm afraid of wild animals.
Ik wil mijn kamer niet met Tom delen. 	 I don't want to share my room with Tom.
Tom was behulpzaam. 	 Tom was helpful.
Woont hij hier? 	 Does he live here?
Je hebt toch de foto’s gezien? 	 You saw the pictures, didn't you?
Hier zijn je sleutels. 	 Here are your keys.
Het licht is groen. 	 The light is green.
Tom was gefascineerd door het idee. 	 Tom was intrigued by the idea.
We houden van wiskunde. 	 We love math.
Ik denk niet dat je mij kunt verslaan. 	 I don't think you can beat me.
Ze schreeuwden. 	 They yelled.
Is dat Toms vriendin? 	 Is that Tom's girlfriend?
Ik versta geen Duits. 	 I don't understand German.
Doe uw kousen uit a.u.b. 	 Take off your socks, please.
Ik kan hem niet vertrouwen. 	 I can't trust him.
Deze koekjes hebben de vorm van sterren. 	 These cookies are star-shaped.
Was jullie kantoor erbij betrokken? 	 Was your office involved?
Tom is waarschijnlijk niet bereid om mee te werken. 	 Tom isn't likely to be cooperative.
Tom is een typische tienerjongen. 	 Tom is a typical teenage boy.
Hij werkt als vertaler. 	 He works as a translator.
Bent u met pensioen? 	 Are you retired?
Wisten jullie niet dat Tom allergisch was voor walnoten? 	 Didn't you know Tom was allergic to walnuts?
Vroeger was hier ergens een hotel. 	 There used to be a hotel around here.
Tom zat in een rolstoel. 	 Tom was in a wheelchair.
Ik weet dat Tom iemand kieskeurig is. 	 I know Tom is a fussy person.
De grond begon te schudden. 	 The ground started shaking.
Ik zie ze vanavond. 	 I'm seeing them tonight.
Spreek je goed Frans? 	 Do you speak French well?
Sommigen van hen konden niet omgaan met de druk. 	 Some of them couldn't handle the pressure.
Mijn vriendin komt uit Australië. 	 My girlfriend is from Australia.
Tom heeft slechts een vage herinnering aan zijn opa. 	 Tom only has a faint memory of his grandfather.
Ik wil waterskiën. 	 I want to water ski.
Een ogenblik, alstublieft. 	 Just a moment, please.
Ik zal details nodig hebben. 	 I'm going to need details.
Ze is handig in het liegen. 	 She is a very clever liar.
Ik geloof dat alles nu in orde is. 	 I think that everything's fine now.
Is het recent gebeurd? 	 Did that happen recently?
Zij zijn zangers. 	 They are singers.
De crimineel liet voetsporen achter. 	 The criminal left footprints.
Deze pindakaas is heerlijk. 	 This peanut butter is delicious.
Ik heb niets geleend. 	 I didn't borrow anything.
Tom is zich bewust van wat er gebeurd is. 	 Tom realizes what's happened.
Ik drink veel. 	 I drink a lot.
Ik heb al een paar grijze haren. 	 I have a few gray hairs already.
Wie spreekt er? 	 Who's speaking?
Ik zal deze namiddag bezet zijn. 	 I will be busy this afternoon.
Hij slaagde erin het probleem op te lossen. 	 He succeeded in solving the problem.
Cool! 	 Terrific!
Ik heb gisteren je brief gekregen. 	 I received your letter yesterday.
Sommige kinderen houden niet van appels. 	 There are some children who don't like apples.
Dat probeer ik nog uit te vinden. 	 I'm still trying to figure that out.
Ik ben een beetje moe. 	 I'm a little tired.
De aarde is een planeet. 	 Earth is a planet.
Kom snel terug. 	 Don't be long.
Is tienduizend yen genoeg? 	 Is ten thousand yen enough?
Wat mooi! 	 How beautiful!
Je kan dansen, nietwaar? 	 You can dance, can't you?
Tom is onze jongste. 	 Tom is our youngest child.
Ik ken Toms familienaam niet. 	 I don't know Tom's last name.
Hij behandelt mij alsof ik een vreemde ben. 	 He treats me as if I am a stranger.
Ik heb maar een mond, maar wel twee oren. 	 I only have one mouth, but I have two ears.
Werpt u even een blik op dit rapport? 	 Will you glance through this report?
Smartphones zouden tien jaar geleden net sciencefiction zijn. 	 Smartphones would have seemed like science fiction ten years ago.
Ik hou van rode wijn. 	 I like red wine.
Niemand weet dat wij neven zijn. 	 No one knows that we're cousins.
Ik vraag me af waarom Tom dat huis wil kopen. 	 I wonder why Tom wants to buy that house.
Tom is met een tandarts getrouwd, toch? 	 Tom is married to a dentist, isn't he?
Weet iemand dat je hier bent? 	 Does anyone know you're here?
Zij wilden iets beters. 	 They wanted something better.
Jullie zijn heel slim. 	 You're very clever.
Hebben jullie verder nog vragen? 	 Do you have any further questions?
Ik dacht dat u in Boston woonde. 	 I thought you lived in Boston.
Heb je mijn vader gezien? 	 Did you see my father?
Het lijkt buiten warm te zijn. 	 It seems warm outside.
Het probleem is dat we niet veel geld hebben. 	 The problem is that we don't have a lot of money.
Waar is de ketchup? 	 Where's the ketchup?
Waarom vertelde je me dat niet? 	 Why didn't you tell me?
Tom fluisterde Maria iets in d'r oor en ze glimlachte. 	 Tom whispered something into Mary's ear and she smiled.
Ben je niet bang voor honden? 	 Aren't you afraid of dogs?
Sluit uw ogen weer. 	 Close your eyes again.
Ik gaf Tom een lift. 	 I gave Tom a ride.
Hij boog voorover om zijn schoenen aan te doen. 	 He leaned over to put on his shoes.
Ik had het kunnen weten. 	 I should've known.
Ik wil een kop koffie. 	 I would like a cup of coffee.
Heeft u een pen? 	 Do you have a pen?
Ga naar bed. 	 Go to bed.
Je bent verslaafd aan je werk. 	 You are a workaholic.
Het zal regenen vanmiddag. 	 It is going to rain this afternoon.
Hoeveel geld heeft u tot nu toe verdiend? 	 How much money have you earned so far?
Ik ski graag. 	 I like skiing.
We zijn heel dronken. 	 We're quite drunk.
Wie weet wat er morgen gebeurt. 	 Who knows what might happen tomorrow?
Wie kijkt ernaar? 	 Who's watching it?
Je zult waarschijnlijk niet eens enig verschil opmerken. 	 You're likely not to even notice any difference.
Hij rende het snelst van iedereen. 	 He ran the fastest of all.
Ik heb geen tatoeage. 	 I don't have a tattoo.
Ookal is hij erg oud, hij is wel gezond. 	 Even though he's very old, he's healthy.
Dit boek gaat de bovenste plank op. 	 This book goes on the top shelf.
Ik wist niet dat Tom vroeger in Boston heeft gewoond. 	 I didn't know Tom used to live in Boston.
Een update is beschikbaar. 	 An update is available.
Ik was bang om nieuwe dingen te proberen. 	 I was scared to try new things.
Kikkers zijn bang voor slangen. 	 Frogs are afraid of snakes.
Uw antwoord is juist. 	 Your answer is right.
Ze kwam de trap af met een brief in de hand. 	 She came downstairs with a letter in her hand.
Daar stond vroeger een grote ceder. 	 There used to be a large cedar tree there.
Je kan hier overnachten als je dat wilt. 	 You can spend the night if you want to.
U bent me een biertje schuldig. 	 You owe me a beer.
Eigenlijk kan hij niet goed zwemmen. 	 In fact, he can't swim well.
Wat wil je precies? 	 What exactly do you want?
Bananen zijn heerlijk. 	 Bananas are delicious.
Laat ons met rust, en wij laten jou met rust. 	 Leave us alone and we'll leave you alone.
Ik wil daar een aantal van. 	 I want some of those.
Die kat is bruin. 	 That cat is brown.
Tom rookt. 	 Tom is smoking.
Ze maakt kip klaar op de manier die ik lekker vind. 	 She cooks chicken the way I like.
Ze speelt piano en gitaar. 	 She plays piano and guitar.
Ik weet niets over elektronica. 	 I don't know anything about electronics.
Sla Tom. 	 Hit Tom.
Je neemt me in de maling. 	 You're pulling my leg.
Onze docent Frans is Canadees. 	 Our French teacher is Canadian.
Ik maakte maar een grapje. 	 I was just joking.
Tom begrijpt Frans niet helemaal. 	 Tom doesn't understand French very well.
Ik neem een douche. 	 I'm taking a shower right now.
Uit de weg of ik schiet op je. 	 Out of my way or I shoot you.
Hoe lang zat je bij het leger? 	 How long did you serve in the army?
Mijn appartement is dichtbij. 	 My apartment is near here.
Wat is er aan de hand? 	 What is going on?
Ze was betoverd door zijn glimlach. 	 She was bewitched by his smile.
Hoeveel zussen heb jij? 	 How many sisters do you have?
Tom is van Mary gescheiden. 	 Tom divorced Mary.
Het geld op tafel is niet van mij. 	 The money on the table isn't mine.
Tom is een Stier. 	 Tom is a Taurus.
Ze belde me op vanuit Tokyo. 	 She called me up from Tokyo.
Tom is geen leraar meer. 	 Tom is no longer a teacher.
Hij keek weg. 	 He looked away.
Zij hebben hulp nodig. 	 They need help.
Tom moet nog een paar daagjes in het ziekenhuis blijven. 	 Tom needs to stay in the hospital for a few more days.
Het is te kort door de bocht om alle jongeren als mogelijke onruststokers te stereotyperen. 	 It's unfair to stereotype all young people as potential troublemakers.
Ze lieten Tom achter. 	 They left Tom behind.
Mag ik naar huis gaan? 	 May I go home?
Steek de kaars aan. 	 Light the candle.
Hij ging vorig jaar naar Amerika om zijn Engels bij te schaven. 	 He went to America last year to brush up his English.
Tom en ik hebben een huis in Boston. 	 Tom and I have a house in Boston.
Ze is dood. 	 She is dead.
Wie is het? 	 Who is it?
Ik ben nu op het vliegveld. 	 I'm at the airport now.
Hij trof vlug een beslissing. 	 He made up his mind quickly.
Ik ben moe van het lopen. 	 I am tired from walking.
Hoe worden aardbevingen gemeten? 	 How are earthquakes measured?
Druk niet op deze blauwe knop. 	 Don't touch that blue button.
Dit zijn de laagste prijzen die ik ooit heb gezien. 	 These are the lowest prices I've ever seen.
Tom ging naar Australië. 	 Tom went to Australia.
Hij kon het probleem oplossen. 	 He was able to solve the problem.
Laat me met je meegaan. 	 Let me go with you.
Schrijft hij brieven in het Engels? 	 Does he write letters in English?
Ik ben liever arm dan rijk. 	 I'd rather be poor than rich.
Tom was de enige met wie ik kon praten. 	 Tom was the only one I could talk to.
Dat was leuk. 	 That was fun.
Er is geen oplossing. 	 There is no solution.
Lach me niet uit, alsjeblieft. 	 Please don't laugh at me.
Het scheelde niet veel of we waren doodgevroren. 	 We came dangerously close to freezing to death.
Er zijn verschillen. 	 There are discrepancies.
Ik dacht dat Tom hier vandaag niet zou zijn. 	 I thought that Tom wasn't going to be here today.
